5,166,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,357.79M,-
6,167,AKCA,"Akcea Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.84B,-
7,168,AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,21.07M,-
8,169,AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.89B,12.57
9,170,AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.95B,9.43
10,171,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,965.01M,23.42
11,172,AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.21B,-
12,173,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,275.34M,-
13,174,AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,57.25M,-
14,175,AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USA,912.13M,-
15,176,AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA,3.42B,5.95
16,177,ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong,49.16M,595.04
17,178,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,9.78B,22.70
18,179,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,593.60M,-
19,180,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,27.02B,-
0,181,ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USA,225.96M,9.88
1,182,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,273.98M,-
2,183,ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA,2.63B,15.59
3,184,ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,1.02B,-
4,185,ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA,814.47M,-
5,186,ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA,1.29B,23.18
6,187,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,26.30B,15.25
7,188,ALGT,Allegiant Travel Company,Industrials,Airlines,USA,2.15B,-
8,189,ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,28.49M,-
9,190,ALJJ,"ALJ Regional Holdings, Inc.",Industrials,Specialty Business Services,USA,41.62M,-
10,191,ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA,5.00B,97.59
11,192,ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,2.74B,-
12,193,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,28.78B,6.94
13,194,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,9.02B,31.69
14,195,ALLK,Allakos Inc.,Healthcare,Biotechnology,USA,3.90B,-
15,196,ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,4.65B,-
16,197,ALLT,Allot Ltd.,Technology,Communication Equipment,Israel,329.31M,-
17,198,ALLY,Ally Financial Inc.,Financial,Credit Services,USA,8.32B,13.47
18,199,ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,46.73M,-
19,200,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,14.32B,-
0,201,ALOT,"AstroNova, Inc.",Technology,Computer Hardware,USA,51.54M,117.74
1,202,ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA,181.15M,-
2,203,ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA,2.87B,50.95
3,204,ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,47.15M,-
4,205,ALRS,Alerus Financial Corporation,Financial,Banks - Regional,USA,376.75M,12.44
5,206,ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Telecom Services,USA,119.66M,12.74
6,207,ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,USA,3.93B,9.78
7,208,ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,423.52M,-
8,209,ALTA,Altabancorp,Financial,Banks - Regional,USA,383.16M,8.81
9,210,ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,USA,235.46M,-
10,211,ALTM,Altus Midstream Company,Energy,Oil & Gas Midstream,USA,203.51M,-
11,212,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,USA,2.87B,-
12,213,ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden,6.71B,48.25
13,214,ALVR,"AlloVir, Inc.",Healthcare,Biotechnology,USA,544.10M,-
14,215,ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,USA,1.32B,27.56
15,216,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,22.94B,28.40
16,217,ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,USA,1.45B,-
17,218,ALYA,Alithya Group Inc.,Technology,Information Technology Services,Canada,101.32M,-
18,219,AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,USA,2.67B,-
19,220,AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,331.64M,-
0,221,AMAL,Amalgamated Bank,Financial,Banks - Regional,USA,376.99M,8.39
1,222,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,50.75B,16.01
2,223,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.60B,-
3,224,AMBC,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA,537.07M,-
4,225,AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,China,46.09M,-
5,226,AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA,610.51M,-
6,227,AMCI,AMCI Acquisition Corp.,Financial,Shell Companies,USA,210.30M,-
7,228,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,17.52B,28.63
8,229,AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA,1.06B,6.20
9,230,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,93.33B,157.02
10,231,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,22.62B,25.43
11,232,AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA,7.63B,59.07
12,233,AMEH,"Apollo Medical Holdings, Inc.",Healthcare,Medical Care Facilities,USA,942.29M,30.00
13,234,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,3.07B,26.47
14,235,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,140.66B,19.66
15,236,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,8.74B,105.55
16,237,AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA,1.67B,-
17,238,AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA,2.73B,9.70
18,239,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,2.53B,29.88
19,240,AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA,232.41M,7.96
0,241,AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,USA,397.87M,25.45
1,242,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,18.02B,7.85
2,243,AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,120.07M,-
3,244,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,931.06M,237.44
4,245,AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,USA,35.59M,-
5,246,AMRB,American River Bankshares,Financial,Banks - Regional,USA,62.60M,9.93
